Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,10.040000,10.050000,10.040000,10.050000,10.050000,309100
2019-08-21,10.050000,10.050000,10.050000,10.050000,10.050000,0
2019-08-22,10.050000,10.050000,10.050000,10.050000,10.050000,0
2019-08-23,10.040000,10.057000,10.030000,10.040000,10.040000,112200
2019-08-26,10.050000,10.050000,10.050000,10.050000,10.050000,20000
2019-08-27,10.050000,10.050000,10.048000,10.050000,10.050000,126700
2019-08-28,10.060000,10.060000,10.055000,10.055000,10.055000,300
2019-08-29,10.050000,10.050000,10.050000,10.050000,10.050000,3300
2019-08-30,10.050000,10.050000,10.050000,10.050000,10.050000,8500
2019-09-03,10.040000,10.070000,10.040000,10.070000,10.070000,55700
2019-09-04,10.060000,10.070000,10.050000,10.050000,10.050000,46500
2019-09-05,10.070000,10.080000,10.070000,10.080000,10.080000,27900
2019-09-06,10.080000,10.080000,10.070000,10.070000,10.070000,1000
2019-09-09,10.070000,10.070000,10.050000,10.050000,10.050000,15100
2019-09-10,10.050000,10.050000,10.040000,10.040000,10.040000,177300
2019-09-11,10.040000,10.040000,10.040000,10.040000,10.040000,0
2019-09-12,10.060000,10.080000,10.060000,10.080000,10.080000,50000
2019-09-13,10.060000,10.060000,10.040000,10.040000,10.040000,4400
2019-09-16,10.040000,10.040000,10.020000,10.020000,10.020000,204300
2019-09-17,10.050000,10.050000,10.040000,10.040000,10.040000,26100
2019-09-18,10.040000,10.040000,10.040000,10.040000,10.040000,100
2019-09-19,10.050000,10.050000,10.050000,10.050000,10.050000,600
2019-09-20,10.050000,10.050000,10.050000,10.050000,10.050000,0
2019-09-23,10.030000,10.030000,10.030000,10.030000,10.030000,100
2019-09-24,10.040000,10.070000,10.030000,10.060000,10.060000,293600
2019-09-25,10.060000,10.070000,10.050000,10.060000,10.060000,50100
2019-09-26,10.070000,10.070000,10.055000,10.061000,10.061000,14400
2019-09-27,10.040000,10.070000,10.036000,10.070000,10.070000,13200
2019-09-30,10.080000,10.080000,10.050000,10.075000,10.075000,21900
2019-10-01,10.080000,10.080000,10.060000,10.069000,10.069000,2500
2019-10-02,10.050000,10.070000,10.050000,10.070000,10.070000,2000
2019-10-03,10.070000,10.080000,10.060000,10.075000,10.075000,18200
2019-10-04,10.080000,10.080000,10.060000,10.077000,10.077000,55100
2019-10-07,10.080000,10.090000,10.070000,10.083000,10.083000,9500
2019-10-08,10.080000,10.090000,10.070000,10.073000,10.073000,2000
2019-10-09,10.070000,10.073000,10.064000,10.066000,10.066000,2600
2019-10-10,10.082000,10.082000,10.071000,10.071000,10.071000,700
2019-10-11,10.075000,10.090000,10.060000,10.090000,10.090000,11800
2019-10-14,10.090000,10.090000,10.090000,10.090000,10.090000,300
2019-10-15,10.070000,10.090000,10.070000,10.082000,10.082000,312900
2019-10-16,10.082000,10.090000,10.082000,10.088000,10.088000,1000
2019-10-17,10.090000,10.090000,10.070000,10.075000,10.075000,2100
2019-10-18,10.075000,10.077000,10.075000,10.077000,10.077000,3000
2019-10-21,10.100000,10.100000,10.060000,10.060000,10.060000,650400
2019-10-22,10.043000,10.080000,10.043000,10.075000,10.075000,13100
2019-10-23,10.087000,10.088000,10.073000,10.075000,10.075000,1600
2019-10-24,10.070000,10.074000,10.058000,10.060000,10.060000,214300
2019-10-25,10.080000,10.090000,10.073000,10.090000,10.090000,19000
2019-10-28,10.100000,10.100000,10.060000,10.070000,10.070000,2400
2019-10-29,10.086000,10.110000,10.079000,10.081000,10.081000,79000
2019-10-30,10.090000,10.110000,10.086000,10.091000,10.091000,6900
2019-10-31,10.120000,10.120000,10.100000,10.102000,10.102000,6300
2019-11-01,10.090000,10.090000,10.070000,10.080000,10.080000,12300
2019-11-04,10.110000,10.110000,10.080000,10.095000,10.095000,1100
2019-11-05,10.092000,10.092000,10.092000,10.092000,10.092000,200
2019-11-06,10.110000,10.110000,10.093000,10.095000,10.095000,370500
2019-11-07,10.095000,10.095000,10.095000,10.095000,10.095000,200
2019-11-08,10.110000,10.110000,10.084000,10.105000,10.105000,231300
2019-11-11,10.100000,10.100000,10.080000,10.100000,10.100000,281200
2019-11-12,10.120000,10.130000,10.110000,10.110000,10.110000,249000
2019-11-13,10.120000,10.120000,10.090000,10.100000,10.100000,945700
