Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,10.850000,11.700000,10.800000,11.000000,11.000000,1261700
2020-06-11,10.900000,10.900000,10.570000,10.650000,10.650000,225800
2020-06-12,10.880000,10.880000,10.500000,10.610000,10.610000,166900
2020-06-15,11.000000,11.105000,10.800000,10.900000,10.900000,432800
2020-06-16,11.110000,11.150000,10.950000,11.000000,11.000000,392500
2020-06-17,11.200000,12.800000,11.150000,12.300000,12.300000,1332900
2020-06-18,12.610000,13.000000,12.500000,12.820000,12.820000,547300
2020-06-19,13.200000,13.200000,11.320000,11.580000,11.580000,695800
2020-06-22,11.750000,11.920000,11.200000,11.300000,11.300000,270300
2020-06-23,11.500000,11.500000,10.750000,10.999000,10.999000,358000
2020-06-24,11.000000,11.000000,10.540000,10.922000,10.922000,268100
2020-06-25,10.900000,10.900000,10.650000,10.790000,10.790000,131600
2020-06-26,10.930000,11.200000,10.680000,10.800000,10.800000,293300
2020-06-29,11.600000,12.880000,11.300000,12.840000,12.840000,1158200
2020-06-30,13.100000,13.120000,11.810000,12.170000,12.170000,674500
2020-07-01,12.480000,12.590000,11.550000,11.730000,11.730000,359600
2020-07-02,12.200000,12.850000,11.820000,12.220000,12.220000,404200
2020-07-06,12.750000,13.400000,12.310000,12.550000,12.550000,799600
2020-07-07,12.500000,12.700000,11.300000,11.410000,11.410000,346100
2020-07-08,11.740000,11.750000,11.050000,11.610000,11.610000,175500
2020-07-09,11.750000,12.170000,11.700000,12.130000,12.130000,472500
2020-07-10,12.130000,12.220000,11.753000,11.940000,11.940000,126100
2020-07-13,12.200000,12.200000,11.150000,11.350000,11.350000,244000
2020-07-14,11.350000,11.490000,11.100000,11.490000,11.490000,106400
