Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,13.920000,13.920000,11.500000,11.500000,11.500000,22900
2020-06-02,12.500000,12.500000,10.635000,11.100000,11.100000,24200
2020-06-03,11.270000,11.290000,10.470000,10.690000,10.690000,98200
2020-06-04,10.940000,10.940000,10.070000,10.900000,10.900000,15500
2020-06-05,10.930000,11.000000,9.780000,9.890000,9.890000,18600
2020-06-08,9.990000,10.715000,9.870000,9.870000,9.870000,31400
2020-06-09,10.080000,10.153000,9.270000,9.590000,9.590000,33800
2020-06-10,9.800000,10.220000,9.430000,9.600000,9.600000,23500
2020-06-11,9.610000,10.110000,9.610000,9.750000,9.750000,8100
2020-06-12,9.550000,10.020000,9.160000,9.210000,9.210000,19700
2020-06-15,9.390000,9.669000,9.350000,9.410000,9.410000,11100
2020-06-16,9.250000,9.430000,8.610000,8.800000,8.800000,12000
2020-06-17,8.835000,8.995000,8.220000,8.500000,8.500000,22300
2020-06-18,8.680000,9.180000,8.680000,8.890000,8.890000,7300
2020-06-19,8.900000,9.100000,8.576000,8.650000,8.650000,3200
2020-06-22,8.620000,9.410000,8.620000,9.035000,9.035000,16500
2020-06-23,9.110000,10.000000,9.000000,9.050000,9.050000,13900
2020-06-24,8.220000,9.250000,8.220000,9.000000,9.000000,6400
2020-06-25,9.190000,9.487000,9.190000,9.487000,9.487000,4000
2020-06-26,9.560000,9.575000,9.100000,9.410000,9.410000,16000
2020-06-29,9.560000,9.560000,8.840000,9.200000,9.200000,5000
2020-06-30,9.500000,9.550000,9.380000,9.450000,9.450000,16100
2020-07-01,9.450000,9.570000,9.120000,9.376000,9.376000,4900
2020-07-02,9.340000,9.570000,9.042000,9.350000,9.350000,21600
2020-07-06,8.600000,9.570000,8.600000,9.146000,9.146000,12600
2020-07-07,9.310000,9.570000,9.220000,9.385000,9.385000,5600
2020-07-08,9.500000,10.500000,9.428000,10.100000,10.100000,32300
2020-07-09,10.275000,10.410000,10.165000,10.400000,10.400000,13800
2020-07-10,10.200000,10.990000,10.200000,10.970000,10.970000,16800
2020-07-13,10.960000,11.140000,10.750000,11.080000,11.080000,15500
2020-07-14,10.700000,10.950000,10.520000,10.800000,10.800000,16100
