Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,7.650000,7.723000,7.340000,7.610000,7.610000,18900
2020-06-17,4.500000,4.500000,2.610000,2.750000,2.750000,227600
2020-06-18,2.900000,3.630000,2.200000,2.690000,2.690000,287500
2020-06-19,2.690000,2.690000,2.305000,2.428000,2.428000,75700
2020-06-22,2.230000,2.263000,1.900000,2.200000,2.200000,132300
2020-06-23,2.250000,2.410000,2.070000,2.100000,2.100000,81900
2020-06-24,2.220000,2.900000,2.100000,2.180000,2.180000,592800
2020-06-25,2.390000,2.556000,1.930000,2.200000,2.200000,193100
2020-06-26,2.160000,2.190000,1.850000,2.030000,2.030000,98700
2020-06-29,2.080000,2.140000,1.910000,2.000000,2.000000,76300
2020-06-30,1.940000,3.440000,1.745000,3.050000,3.050000,1285900
2020-07-01,2.750000,4.100000,2.320000,2.950000,2.950000,4606500
2020-07-02,2.600000,3.116000,2.480000,2.550000,2.550000,308100
2020-07-06,2.850000,2.850000,2.150000,2.490000,2.490000,310200
2020-07-07,2.310000,2.480000,2.115000,2.320000,2.320000,118900
2020-07-08,2.230000,2.580000,2.220000,2.390000,2.390000,202200
2020-07-09,2.350000,2.800000,2.230000,2.550000,2.550000,438200
2020-07-10,2.620000,3.330000,2.620000,3.200000,3.200000,499200
2020-07-13,3.110000,3.218000,2.850000,2.910000,2.910000,224700
2020-07-14,2.700000,3.150000,2.610000,3.040000,3.040000,107700
