Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,10.610000,10.840000,10.250000,10.260000,10.260000,209100
2020-07-07,10.250000,10.400000,10.200000,10.220000,10.220000,66000
2020-07-08,10.300000,10.300000,10.140000,10.211000,10.211000,84900
2020-07-09,10.210000,10.290000,10.180000,10.198000,10.198000,7400
2020-07-10,10.230000,10.440000,10.150000,10.160000,10.160000,19700
2020-07-13,10.150000,10.250000,10.100000,10.190000,10.190000,150300
2020-07-14,10.130000,10.155000,10.120000,10.120000,10.120000,18200
2020-07-15,10.130000,10.130000,10.130000,10.130000,10.130000,7500
2020-07-16,10.140000,10.240000,10.130000,10.130000,10.130000,1300
2020-07-17,10.168000,10.220000,10.130000,10.175000,10.175000,3900
