Date,Open,High,Low,Close,Adj Close,Volume
2020-06-19,15.930000,16.400000,12.900000,14.040000,14.040000,17826900
2020-06-22,16.000000,18.690001,15.910000,18.290001,18.290001,23883500
2020-06-23,19.440001,19.750000,16.420000,17.400000,17.400000,11228400
2020-06-24,17.410000,17.500000,15.700000,16.209999,16.209999,4850000
2020-06-25,17.010000,17.700001,16.100000,17.400000,17.400000,6911600
2020-06-26,19.250000,25.940001,18.250000,24.570000,24.570000,37485200
2020-06-29,29.459999,34.669998,28.000000,31.840000,31.840000,37734300
2020-06-30,29.900000,30.840000,26.500000,27.440001,27.440001,11439900
2020-07-01,26.000000,27.400000,24.709999,25.180000,25.180000,7504600
2020-07-02,28.270000,29.670000,26.600000,27.070000,27.070000,9311900
2020-07-06,28.799999,29.100000,26.000000,26.209999,26.209999,5128700
2020-07-07,25.850000,26.100000,22.639999,23.760000,23.760000,5385100
2020-07-08,25.450001,26.750000,24.530001,26.340000,26.340000,4609100
2020-07-09,28.030001,28.250000,25.260000,26.910000,26.910000,3479000
2020-07-10,26.750000,28.250000,25.750000,26.889999,26.889999,3457100
2020-07-13,27.500000,27.650000,21.200001,21.379999,21.379999,5770300
2020-07-14,22.639999,24.850000,21.450001,23.469999,23.469999,4834900
