Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,11.640000,12.200000,11.240000,11.500000,11.500000,18067500
2020-03-04,12.500000,15.450000,12.000000,14.700000,14.700000,16682300
2020-03-05,14.780000,16.250000,14.500000,14.700000,14.700000,7858000
2020-03-06,13.900000,14.280000,12.760000,13.740000,13.740000,2948800
2020-03-09,12.990000,13.000000,11.280000,11.760000,11.760000,3149800
2020-03-10,12.740000,12.800000,11.610000,12.000000,12.000000,1671800
2020-03-11,11.990000,12.000000,11.180000,11.350000,11.350000,1602600
2020-03-12,11.000000,11.570000,10.560000,11.020000,11.020000,2165700
2020-03-13,11.500000,11.760000,10.750000,11.240000,11.240000,837100
2020-03-16,10.750000,11.420000,10.510000,10.940000,10.940000,1089300
2020-03-17,11.000000,11.170000,10.700000,10.760000,10.760000,797800
2020-03-18,10.600000,10.907000,10.420000,10.500000,10.500000,1043400
2020-03-19,10.500000,11.330000,10.451000,10.700000,10.700000,964600
2020-03-20,10.740000,11.220000,10.610000,10.650000,10.650000,802500
2020-03-23,10.560000,11.140000,10.560000,10.700000,10.700000,655600
2020-03-24,11.060000,11.180000,10.750000,10.810000,10.810000,853600
2020-03-25,10.910000,11.310000,10.700000,10.950000,10.950000,535100
2020-03-26,10.900000,11.230000,10.900000,11.050000,11.050000,383500
2020-03-27,11.000000,11.040000,10.820000,10.880000,10.880000,273800
2020-03-30,10.960000,11.130000,10.900000,10.975000,10.975000,228200
2020-03-31,11.150000,11.150000,10.550000,10.640000,10.640000,705900
2020-04-01,10.650000,10.729000,10.520000,10.590000,10.590000,422400
2020-04-02,10.510000,10.850000,10.510000,10.800000,10.800000,225000
2020-04-03,10.800000,10.850000,10.710000,10.800000,10.800000,179900
2020-04-06,11.000000,11.180000,10.810000,11.000000,11.000000,448600
2020-04-07,11.200000,11.200000,10.840000,10.940000,10.940000,451600
2020-04-08,11.120000,11.330000,10.900000,11.010000,11.010000,495100
2020-04-09,11.260000,11.480000,10.990000,11.120000,11.120000,438400
2020-04-13,11.250000,12.050000,11.050000,11.750000,11.750000,1160000
2020-04-14,12.400000,12.680000,11.960000,12.140000,12.140000,1167200
2020-04-15,12.140000,12.200000,11.350000,11.800000,11.800000,662300
2020-04-16,11.950000,11.950000,11.500000,11.700000,11.700000,264200
2020-04-17,12.000000,12.000000,11.610000,11.740000,11.740000,325300
2020-04-20,11.880000,12.430000,11.670000,12.110000,12.110000,1159800
2020-04-21,12.250000,12.250000,11.320000,11.640000,11.640000,581700
2020-04-22,11.830000,12.340000,11.720000,12.050000,12.050000,935200
2020-04-23,12.150000,12.450000,12.100000,12.330000,12.330000,645200
2020-04-24,12.570000,13.300000,12.350000,12.700000,12.700000,1660200
2020-04-27,13.040000,14.900000,13.000000,14.350000,14.350000,2672800
2020-04-28,14.800000,14.850000,13.520000,13.900000,13.900000,1310900
2020-04-29,14.290000,14.376000,13.560000,13.940000,13.940000,2289000
2020-04-30,14.120000,14.120000,13.100000,13.250000,13.250000,1252400
2020-05-01,13.280000,13.440000,12.730000,13.000000,13.000000,955500
2020-05-04,13.100000,13.550000,12.900000,13.090000,13.090000,892400
2020-05-05,13.470000,13.880000,13.130000,13.230000,13.230000,992600
2020-05-06,13.440000,13.440000,13.100000,13.180000,13.180000,696000
2020-05-07,14.190000,15.250000,14.010000,14.850000,14.850000,2656300
2020-05-08,16.040001,18.290001,15.555000,16.510000,16.510000,6452500
2020-05-11,18.969999,21.530001,17.610001,20.379999,20.379999,11009800
2020-05-12,22.000000,27.700001,20.660000,27.100000,27.100000,19784600
2020-05-13,32.680000,35.380001,25.010000,30.299999,30.299999,44573900
2020-05-14,27.719999,29.250000,25.150000,25.790001,25.790001,11446400
2020-05-15,23.500000,25.209999,20.600000,22.620001,22.620001,12928700
2020-05-18,23.190001,23.750000,20.200001,21.830000,21.830000,7512000
2020-05-19,22.020000,26.299999,21.410000,25.180000,25.180000,8617200
2020-05-20,26.000000,26.900000,22.850000,22.850000,22.850000,5508200
2020-05-21,23.000000,24.790001,23.000000,24.080000,24.080000,3323100
2020-05-22,24.350000,26.500000,23.521999,25.660000,25.660000,4010600
2020-05-26,27.350000,29.639999,26.500000,28.500000,28.500000,6645962
2020-05-27,30.000000,30.450001,26.280001,28.629999,28.629999,4624023
2020-05-28,28.879999,30.189899,27.500000,27.500000,27.500000,4450352
2020-05-29,27.920000,28.930901,27.110001,28.700001,28.700001,2761213
2020-06-01,30.280001,34.349998,30.000000,33.990002,33.990002,8884975
2020-06-02,37.799999,38.000000,30.670000,31.370001,31.370001,19145755
